0,52a87b032780b22fb415ee621d4324809aa52b41,Travel deals: Reopening sale at two St. Maarten resorts hit by Hurricane Irma - The Washington Post,"s, said, t",1.528750557,
1,8328bf41940ad4e5cd7f9aa4b8eab3e10cffa59a,How to improve critical hurricane-related supply chains,"'s, said, n't",1.484542394,
968,d898b07f8cb1fed6acc646a531ae67fd977d8a9d,4.6 earthquake rattles Sandy Valley southwest of Las Vegas – Las Vegas Review-Journal,"weather, storm, heat",2.424616069,Earthquake
3,a30665107430318c9006489c88a642c3f3953008,Brazil Prison Riot Leaves 9 Dead - The New York Times,"s, said, t",1.448833312,
4,f769ae26425b7894e9a1399a2d74d542a9c186da,'Renoir sucks at painting' movement demands removal of artist's works | Art and design | The Guardian,"s, said, t",1.57610903,
5,97c68dc7005c32f47461207974fe71425c910b3c,What Happened In The Litchfield Riot? 'Orange Is The New Black' Season 6 Hinges On Some Of The Finer Details,"'s, said, n't",1.597003389,
525,682e06930ec85718e40ef18bd285b164b5af56ba,3 dead 7 injured in New Orleans mass shooting - AOL News,"terrorism, terrorist, attacks",1.689000605,Terrorism
7,20e43ebb9ec26812314760c2a52d912e3bc4a586,Oregon wildfire: Police suspect Eagle Creek started by teens with fireworks - The Washington Post,"s, said, t",0.292065754,
409,902aabd1af1c24421c7725ccb5f78f675423bd23,2 Dead After House Collapses in Boone Landslide: Police | wfmynews2.com,"sheriff, disney, sheriff",1.151666439,Irrelevant
490,81b1b19d6f57594ddb8753943b61e263f16a050c,Firefighter dies six others injured in gas explosion – Las Vegas Review-Journal,"weather, storm, heat",2.314137126,Explosion
10,e5d29be1a1fd1c382ac9846cf23abd9b9aee7872,Wildfire in San Martin burns multiple structures,"s, said, t",1.139983088,
1415,97be2983b921685dd9b79378a460e524dc1ae16e,Flash flood warning issued for parts of El Paso Teller counties | Colorado Springs News | gazette.com,"weather, storm, heat",1.128125762,Flood
12,adbcfc35d6d2021dd368c23d64af9d4e0c3c70f4,When a wildfire threatens your summer vacation - SFGate,"'s, said, n't",1.268698135,
13,17b8cf996679ff8d49432f8b825f6cab748fc264,Keeping wildfire smoke out of large indoor spaces | Columnists | missoulian.com,"s, said, t",1.59477649,
1009,5b27aebe10491f2922134a12f418c1d838cf0c10,Flood Advisory Issued For Puna,"weather, storm, heat",1.171454947,Flood
15,961c13520cc01fa27fef758fe95ad1ef5227b9b5,Firenado: California fire vortex phenomenon seen amid chaos of Carr Fire near Redding California - CBS News,"'s, said, n't",1.805867994,
