,id,title,cluster,distance
0,52a87b032780b22fb415ee621d4324809aa52b41,Travel deals: Reopening sale at two St. Maarten resorts hit by Hurricane Irma - The Washington Post,"flights, airlines, passenger, said, abc",1.5900568252355578
1,8328bf41940ad4e5cd7f9aa4b8eab3e10cffa59a,How to improve critical hurricane-related supply chains,"said, county, landslide, states, oil",1.3694538177752016
2,a30665107430318c9006489c88a642c3f3953008,Brazil Prison Riot Leaves 9 Dead - The New York Times,"riot, inmates, prison, corrections, 's",1.3699030720321295
3,f769ae26425b7894e9a1399a2d74d542a9c186da,'Renoir sucks at painting' movement demands removal of artist's works | Art and design | The Guardian,"s, said, t, people, years",1.6582457966402502
4,97c68dc7005c32f47461207974fe71425c910b3c,What Happened In The Litchfield Riot? 'Orange Is The New Black' Season 6 Hinges On Some Of The Finer Details,"riot, inmates, prison, corrections, 's",1.4551709668950832
5,20e43ebb9ec26812314760c2a52d912e3bc4a586,Oregon wildfire: Police suspect Eagle Creek started by teens with fireworks - The Washington Post,"s, said, t, people, years",0.5966198582657626
6,e5d29be1a1fd1c382ac9846cf23abd9b9aee7872,Wildfire in San Martin burns multiple structures,"said, 's, copy, home, bledsoe",0.4679603354873585
7,adbcfc35d6d2021dd368c23d64af9d4e0c3c70f4,When a wildfire threatens your summer vacation - SFGate,"flights, airlines, passenger, said, abc",1.447068084429248
8,17b8cf996679ff8d49432f8b825f6cab748fc264,Keeping wildfire smoke out of large indoor spaces | Columnists | missoulian.com,"said, 's, copy, home, bledsoe",1.4323917029659665
9,961c13520cc01fa27fef758fe95ad1ef5227b9b5,Firenado: California fire vortex phenomenon seen amid chaos of Carr Fire near Redding California - CBS News,"said, 's, copy, home, bledsoe",1.5943596385588623
10,e71d3348dce629897dc5dee17aadc0b21b1f0a27,Exploding targets ignite wildfire debate | East Idaho News,"said, 's, copy, home, bledsoe",1.5516690519543879
11,b3ca5c9c5e07487f78a6c64999cabdb1d5e65dea,Writing workshop helps wildfire victims heal from 'surreal days',"said, 's, copy, home, bledsoe",1.0212672064437376
12,a93d63cb862c74cc4c30ed8bb50265175369d1a5,After a destructive wildfire flash floods and debris flows; the long cleanup from the Dollar Ridge Fire begins | fox13now.com,"said, 's, copy, home, bledsoe",0.7431001771866266
13,55c021c211c0136408227d03393c637179a0567a,Why you may hear tornado sirens Tuesday - KMOV.com,"edt, gmt, edt, pm, july",1.4635504756170805
14,114e4883c3aa4efbaacfbe8586556495bbf68198,Five at 5: Mt. Zion man accused of shooting at parents pleads not guilty and 4 other stories to see | Local | herald-review.com,"'s, said, states, july, news",1.4400142566142877
15,cbba5c3f13a6a3f2a4655c11740a67c283a9f07f,Gov't report accuses agency of inadequate recall monitoring | | hastingstribune.com,"flights, airlines, passenger, said, abc",1.600982161434585
16,1cdf8c108dc5f0cf1e12fc0208e2554709a99254,With a new librarian Gays Mills library is evolving with the changing times,"city, said, s, project, 's",1.7649312904635042
17,f4a628f942152ed7ebae1f17365508ef918aefcf,Utah prosecutors file charges in viral campground confrontation | KUTV,"riot, inmates, prison, corrections, 's",1.4728878768981462
18,80978d0af4da993ddf8f88a1baafb7d383ebe83e,Wildfire launches virtual coin platform to promote app discovery and engagement - MarTech Today,"city, said, s, project, 's",1.770012216966973
19,ee1e17936356a8a7e0b8884b8ffb7902d5f76f22,PREMIER Center's Concert Plans During Severe Weather,"said, 's, copy, home, bledsoe",1.0304135327693213
20,df55a61c35c984b932078d6106148bcd16ae2674,USM's Picasso Nelson nominated for AFCA Good Works Team,"'s, said, states, july, news",1.4980033538666742
21,0272c627fe47a0dbf121ae9194d3db7e0a391c01,Minnesota allows tax extension for victims of recent storms flooding – Twin Cities,"s, said, t, people, years",2.24011662865187
22,7121fc3a6c1cb46648a3cd1eb7d00002c1704f03,City officials: Rise in industrial development will help keep tax rate steady in light of Katy's $19.5M bond | Community Impact Newspaper,"city, said, s, project, 's",1.1714199596825905
23,1eb4f0ed404baca65b09941e847ee14ba39e9f93,Riverside Bridge in Ozark is going to be apart of the Ozark Mill project,"city, said, s, project, 's",1.7157773835301529
24,446e7ad79911c0642dc032e821769e20305077f1,Montgomery to retire from Duluth administration | Duluth News Tribune,"city, said, s, project, 's",0.4254955168722609
25,0c6a929723e5160fed5d5e47cdbd6a55e5b42d34,The Day - Family remembers airman who died in overseas accident - News from southeastern Connecticut,"'s, n't, said, saying, people",0.48692457220400226
26,e193f251bfb43472431d8519f5b2536b89744dfd,S.L. mayor residents decry rushed process as inland port bill heads to special session vote | KSL.com,"city, said, s, project, 's",1.243908420763051
